meeting_date,release_date,days_to_release,,,,,,,,,,,
3-May-05,24-May-05,21,,,,,,,,,,,
30-Jun-05,21-Jul-05,21,,,,,,,,,,,
9-Aug-05,30-Aug-05,21,,,,,,,,,,,
20-Sep-05,11-Oct-05,21,,,,,,,,,,,
1-Nov-05,22-Nov-05,21,,,,,,,,,,,
13-Dec-05,3-Jan-06,21,,,,,,,,,,,
31-Jan-06,21-Feb-06,21,,,,,,,,,,,
28-Mar-06,18-Apr-06,21,,,,,,,,,,,
10-May-06,31-May-06,21,,,,,,,,,,,
29-Jun-06,20-Jul-06,21,,,,,,,,,,,
8-Aug-06,29-Aug-06,21,,,,,,,,,,,
20-Sep-06,11-Oct-06,21,,,,,,,,,,,
25-Oct-06,15-Nov-06,21,,,,,,,,,,,
12-Dec-06,3-Jan-07,22,,,,,,,,,,,
31-Jan-07,21-Feb-07,21,,,,,,,,,,,
21-Mar-07,11-Apr-07,21,,,,,,,,,,,
9-May-07,30-May-07,21,,,,,,,,,,,
28-Jun-07,19-Jul-07,21,,,,,,,,,,,
7-Aug-07,28-Aug-07,21,,,,,,,,,,,
10-Aug-07,9-Oct-07,60,,,,,,,,,,,
16-Aug-07,9-Oct-07,54,,,,,,,,,,,
18-Sep-07,9-Oct-07,21,,,,,,,,,,,
31-Oct-07,20-Nov-07,20,,,,,,,,,,,
11-Dec-07,2-Jan-08,22,,,,,,,,,,,
30-Jan-08,20-Feb-08,21,,,,,,,,,,,
18-Mar-08,8-Apr-08,21,,,,,,,,,,,
30-Apr-08,21-May-08,21,,,,,,,,,,,
25-Jun-08,16-Jul-08,21,,,,,,,,,,,
8-Aug-08,26-Aug-08,18,,,,,,,,,,,
16-Sep-08,7-Oct-08,21,,,,,,,,,,,
29-Oct-08,19-Nov-08,21,,,,,,,,,,,
16-Dec-08,6-Jan-09,21,,,,,,,,,,,
28-Jan-09,18-Feb-09,21,,,,,,,,,,,
17-Mar-09,8-Apr-09,22,,,,,,,,,,,
29-Apr-09,20-May-09,21,,,,,,,,,,,
24-Jun-09,15-Jul-09,21,,,,,,,,,,,
11-Aug-09,2-Sep-09,22,,,,,,,,,,,
22-Sep-09,14-Oct-09,22,,,,,,,,,,,
4-Nov-09,24-Nov-09,20,,,,,,,,,,,
15-Dec-09,6-Jan-10,22,,,,,,,,,,,
27-Jan-10,17-Feb-10,21,,,,,,,,,,,
16-Mar-10,6-Apr-10,21,,,,,,,,,,,
28-Apr-10,19-May-10,21,,,,,,,,,,,
23-Jun-10,14-Jul-10,21,,,,,,,,,,,
10-Aug-10,31-Aug-10,21,,,,,,,,,,,
21-Sep-10,12-Oct-10,21,,,,,,,,,,,
3-Nov-10,23-Nov-10,20,,,,,,,,,,,
14-Dec-10,4-Jan-11,21,,,,,,,,,,,
26-Jan-11,16-Feb-11,21,,,,,,,,,,,
15-Mar-11,5-Apr-11,21,,,,,,,,,,,
27-Apr-11,18-May-11,21,,,,,,,,,,,
22-Jun-11,12-Jul-11,20,,,,,,,,,,,
9-Aug-11,30-Aug-11,21,,,,,,,,,,,
21-Sep-11,12-Oct-11,21,,,,,,,,,,,
2-Nov-11,22-Nov-11,20,,,,,,,,,,,
13-Dec-11,3-Jan-12,21,,,,,,,,,,,
25-Jan-12,15-Feb-12,21,,,,,,,,,,,
13-Mar-12,3-Apr-12,21,,,,,,,,,,,
25-Apr-12,16-May-12,21,,,,,,,,,,,
20-Jun-12,11-Jul-12,21,,,,,,,,,,,
1-Aug-12,22-Aug-12,21,,,,,,,,,,,
13-Sep-12,4-Oct-12,21,,,,,,,,,,,
24-Oct-12,14-Nov-12,21,,,,,,,,,,,
12-Dec-12,3-Jan-13,22,,,,,,,,,,,
30-Jan-13,20-Feb-13,21,,,,,,,,,,,
20-Mar-13,10-Apr-13,21,,,,,,,,,,,
1-May-13,22-May-13,21,,,,,,,,,,,
19-Jun-13,10-Jul-13,21,,,,,,,,,,,
31-Jul-13,21-Aug-13,21,,,,,,,,,,,
18-Sep-13,9-Oct-13,21,,,,,,,,,,,
30-Oct-13,20-Nov-13,21,,,,,,,,,,,
18-Dec-13,8-Jan-14,21,,,,,,,,,,,
29-Jan-14,19-Feb-14,21,,,,,,,,,,,
19-Mar-14,9-Apr-14,21,,,,,,,,,,,
30-Apr-14,21-May-14,21,,,,,,,,,,,
18-Jun-14,9-Jul-14,21,,,,,,,,,,,
30-Jul-14,20-Aug-14,21,,,,,,,,,,,
17-Sep-14,8-Oct-14,21,,,,,,,,,,,
29-Oct-14,19-Nov-14,21,,,,,,,,,,,
17-Dec-14,7-Jan-15,21,,,,,,,,,,,
28-Jan-15,18-Feb-15,21,,,,,,,,,,,
18-Mar-15,8-Apr-15,21,,,,,,,,,,,
29-Apr-15,20-May-15,21,,,,,,,,,,,
17-Jun-15,8-Jul-15,21,,,,,,,,,,,
29-Jul-15,19-Aug-15,21,,,,,,,,,,,
17-Sep-15,8-Oct-15,21,,,,,,,,,,,
28-Oct-15,18-Nov-15,21,,,,,,,,,,,
16-Dec-15,6-Jan-16,21,,,,,,,,,,,
27-Jan-16,17-Feb-16,21,,,,,,,,,,,
16-Mar-16,6-Apr-16,21,,,,,,,,,,,
27-Apr-16,18-May-16,21,,,,,,,,,,,
15-Jun-16,6-Jul-16,21,,,,,,,,,,,
27-Jul-16,17-Aug-16,21,,,,,,,,,,,
21-Sep-16,12-Oct-16,21,,,,,,,,,,,
2-Nov-16,23-Nov-16,21,,,,,,,,,,,
14-Dec-16,4-Jan-17,21,,,,,,,,,,,
1-Feb-17,22-Feb-17,21,,,,,,,,,,,
15-Mar-17,5-Apr-17,21,,,,,,,,,,,
3-May-17,24-May-17,21,,,,,,,,,,,
14-Jun-17,5-Jul-17,21,,,,,,,,,,,
26-Jul-17,16-Aug-17,21,,,,,,,,,,,
20-Sep-17,11-Oct-17,21,,,,,,,,,,,
1-Nov-17,22-Nov-17,21,,,,,,,,,,,
13-Dec-17,3-Jan-18,21,,,,,,,,,,,
31-Jan-18,21-Feb-18,21,,,,,,,,,,,
21-Mar-18,11-Apr-18,21,,,,,,,,,,,
2-May-18,23-May-18,21,,,,,,,,,,,
13-Jun-18,5-Jul-18,22,,,,,,,,,,,
1-Aug-18,22-Aug-18,21,,,,,,,,,,,
26-Sep-18,17-Oct-18,21,,,,,,,,,,,
8-Nov-18,29-Nov-18,21,,,,,,,,,,,
19-Dec-18,9-Jan-19,21,,,,,,,,,,,
30-Jan-19,20-Feb-19,21,,,,,,,,,,,
20-Mar-19,10-Apr-19,21,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
